"REF_DATE","GEO","DGUID","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1971/1972","Canada","2016A000011124","Total - gender","Persons","249","units","0","v470763","1.1","351256","","","","0"
"1971/1972","Canada","2016A000011124","Men+","Persons","249","units","0","v470764","1.2","181106","","","","0"
"1971/1972","Canada","2016A000011124","Women+","Persons","249","units","0","v470765","1.3","170150","","","","0"
"1971/1972","Newfoundland and Labrador","2016A000210","Total - gender","Persons","249","units","0","v470784","2.1","12746","","","","0"
"1971/1972","Newfoundland and Labrador","2016A000210","Men+","Persons","249","units","0","v470785","2.2","6591","","","","0"
"1971/1972","Newfoundland and Labrador","2016A000210","Women+","Persons","249","units","0","v470786","2.3","6155","","","","0"
"1971/1972","Prince Edward Island","2016A000211","Total - gender","Persons","249","units","0","v470787","3.1","2038","","","","0"
"1971/1972","Prince Edward Island","2016A000211","Men+","Persons","249","units","0","v470788","3.2","1063","","","","0"
"1971/1972","Prince Edward Island","2016A000211","Women+","Persons","249","units","0","v470789","3.3","975","","","","0"
"1971/1972","Nova Scotia","2016A000212","Total - gender","Persons","249","units","0","v470790","4.1","13889","","","","0"
"1971/1972","Nova Scotia","2016A000212","Men+","Persons","249","units","0","v470791","4.2","7117","","","","0"
"1971/1972","Nova Scotia","2016A000212","Women+","Persons","249","units","0","v470792","4.3","6772","","","","0"
"1971/1972","New Brunswick","2016A000213","Total - gender","Persons","249","units","0","v470793","5.1","12047","","","","0"
"1971/1972","New Brunswick","2016A000213","Men+","Persons","249","units","0","v470794","5.2","6237","","","","0"
"1971/1972","New Brunswick","2016A000213","Women+","Persons","249","units","0","v470795","5.3","5810","","","","0"
"1971/1972","Quebec","2016A000224","Total - gender","Persons","249","units","0","v470796","6.1","85568","","","","0"
"1971/1972","Quebec","2016A000224","Men+","Persons","249","units","0","v470797","6.2","44139","","","","0"
"1971/1972","Quebec","2016A000224","Women+","Persons","249","units","0","v470798","6.3","41429","","","","0"
"1971/1972","Ontario","2016A000235","Total - gender","Persons","249","units","0","v470799","7.1","126254","","","","0"
"1971/1972","Ontario","2016A000235","Men+","Persons","249","units","0","v470800","7.2","65269","","","","0"
"1971/1972","Ontario","2016A000235","Women+","Persons","249","units","0","v470801","7.3","60985","","","","0"
"1971/1972","Manitoba","2016A000246","Total - gender","Persons","249","units","0","v470802","8.1","17627","","","","0"
"1971/1972","Manitoba","2016A000246","Men+","Persons","249","units","0","v470803","8.2","8993","","","","0"
"1971/1972","Manitoba","2016A000246","Women+","Persons","249","units","0","v470804","8.3","8634","","","","0"
"1971/1972","Saskatchewan","2016A000247","Total - gender","Persons","249","units","0","v470805","9.1","15456","","","","0"
"1971/1972","Saskatchewan","2016A000247","Men+","Persons","249","units","0","v470806","9.2","7916","","","","0"
"1971/1972","Saskatchewan","2016A000247","Women+","Persons","249","units","0","v470807","9.3","7540","","","","0"
"1971/1972","Alberta","2016A000248","Total - gender","Persons","249","units","0","v470766","10.1","29384","","","","0"
"1971/1972","Alberta","2016A000248","Men+","Persons","249","units","0","v470767","10.2","15150","","","","0"
"1971/1972","Alberta","2016A000248","Women+","Persons","249","units","0","v470768","10.3","14234","","","","0"
"1971/1972","British Columbia","2016A000259","Total - gender","Persons","249","units","0","v470769","11.1","34478","","","","0"
"1971/1972","British Columbia","2016A000259","Men+","Persons","249","units","0","v470770","11.2","17716","","","","0"
"1971/1972","British Columbia","2016A000259","Women+","Persons","249","units","0","v470771","11.3","16762","","","","0"
"1971/1972","Yukon","2016A000260","Total - gender","Persons","249","units","0","v470772","12.1","447","","","","0"
"1971/1972","Yukon","2016A000260","Men+","Persons","249","units","0","v470773","12.2","237","","","","0"
"1971/1972","Yukon","2016A000260","Women+","Persons","249","units","0","v470774","12.3","210","","","","0"
"1971/1972","Northwest Territories including Nunavut","","Total - gender","Persons","249","units","0","v470775","13.1","1322","","","t","0"
"1971/1972","Northwest Territories including Nunavut","","Men+","Persons","249","units","0","v470776","13.2","678","","","t","0"
"1971/1972","Northwest Territories including Nunavut","","Women+","Persons","249","units","0","v470777","13.3","644","","","t","0"
"1972/1973","Canada","2016A000011124","Total - gender","Persons","249","units","0","v470763","1.1","345815","","","","0"
"1972/1973","Canada","2016A000011124","Men+","Persons","249","units","0","v470764","1.2","178284","","","","0"
"1972/1973","Canada","2016A000011124","Women+","Persons","249","units","0","v470765","1.3","167531","","","","0"
"1972/1973","Newfoundland and Labrador","2016A000210","Total - gender","Persons","249","units","0","v470784","2.1","12624","","","","0"
"1972/1973","Newfoundland and Labrador","2016A000210","Men+","Persons","249","units","0","v470785","2.2","6480","","","","0"
"1972/1973","Newfoundland and Labrador","2016A000210","Women+","Persons","249","units","0","v470786","2.3","6144","","","","0"
"1972/1973","Prince Edward Island","2016A000211","Total - gender","Persons","249","units","0","v470787","3.1","1897","","","","0"
"1972/1973","Prince Edward Island","2016A000211","Men+","Persons","249","units","0","v470788","3.2","1024","","","","0"
"1972/1973","Prince Edward Island","2016A000211","Women+","Persons","249","units","0","v470789","3.3","873","","","","0"
"1972/1973","Nova Scotia","2016A000212","Total - gender","Persons","249","units","0","v470790","4.1","13414","","","","0"
"1972/1973","Nova Scotia","2016A000212","Men+","Persons","249","units","0","v470791","4.2","6810","","","","0"
"1972/1973","Nova Scotia","2016A000212","Women+","Persons","249","units","0","v470792","4.3","6604","","","","0"
"1972/1973","New Brunswick","2016A000213","Total - gender","Persons","249","units","0","v470793","5.1","11625","","","","0"
"1972/1973","New Brunswick","2016A000213","Men+","Persons","249","units","0","v470794","5.2","6017","","","","0"
"1972/1973","New Brunswick","2016A000213","Women+","Persons","249","units","0","v470795","5.3","5608","","","","0"
"1972/1973","Quebec","2016A000224","Total - gender","Persons","249","units","0","v470796","6.1","83801","","","","0"
"1972/1973","Quebec","2016A000224","Men+","Persons","249","units","0","v470797","6.2","43475","","","","0"
"1972/1973","Quebec","2016A000224","Women+","Persons","249","units","0","v470798","6.3","40326","","","","0"
"1972/1973","Ontario","2016A000235","Total - gender","Persons","249","units","0","v470799","7.1","124353","","","","0"
"1972/1973","Ontario","2016A000235","Men+","Persons","249","units","0","v470800","7.2","64096","","","","0"
"1972/1973","Ontario","2016A000235","Women+","Persons","249","units","0","v470801","7.3","60257","","","","0"
"1972/1973","Manitoba","2016A000246","Total - gender","Persons","249","units","0","v470802","8.1","16990","","","","0"
"1972/1973","Manitoba","2016A000246","Men+","Persons","249","units","0","v470803","8.2","8772","","","","0"
"1972/1973","Manitoba","2016A000246","Women+","Persons","249","units","0","v470804","8.3","8218","","","","0"
"1972/1973","Saskatchewan","2016A000247","Total - gender","Persons","249","units","0","v470805","9.1","15280","","","","0"
"1972/1973","Saskatchewan","2016A000247","Men+","Persons","249","units","0","v470806","9.2","7742","","","","0"
"1972/1973","Saskatchewan","2016A000247","Women+","Persons","249","units","0","v470807","9.3","7538","","","","0"
"1972/1973","Alberta","2016A000248","Total - gender","Persons","249","units","0","v470766","10.1","29596","","","","0"
"1972/1973","Alberta","2016A000248","Men+","Persons","249","units","0","v470767","10.2","15305","","","","0"
"1972/1973","Alberta","2016A000248","Women+","Persons","249","units","0","v470768","10.3","14291","","","","0"
"1972/1973","British Columbia","2016A000259","Total - gender","Persons","249","units","0","v470769","11.1","34598","","","","0"
"1972/1973","British Columbia","2016A000259","Men+","Persons","249","units","0","v470770","11.2","17712","","","","0"
"1972/1973","British Columbia","2016A000259","Women+","Persons","249","units","0","v470771","11.3","16886","","","","0"
"1972/1973","Yukon","2016A000260","Total - gender","Persons","249","units","0","v470772","12.1","461","","","","0"
"1972/1973","Yukon","2016A000260","Men+","Persons","249","units","0","v470773","12.2","229","","","","0"
"1972/1973","Yukon","2016A000260","Women+","Persons","249","units","0","v470774","12.3","232","","","","0"
"1972/1973","Northwest Territories including Nunavut","","Total - gender","Persons","249","units","0","v470775","13.1","1176","","","t","0"
"1972/1973","Northwest Territories including Nunavut","","Men+","Persons","249","units","0","v470776","13.2","622","","","t","0"
"1972/1973","Northwest Territories including Nunavut","","Women+","Persons","249","units","0","v470777","13.3","554","","","t","0"
"1973/1974","Canada","2016A000011124","Total - gender","Persons","249","units","0","v470763","1.1","342446","","","","0"
"1973/1974","Canada","2016A000011124","Men+","Persons","249","units","0","v470764","1.2","175676","","","","0"
"1973/1974","Canada","2016A000011124","Women+","Persons","249","units","0","v470765","1.3","166770","","","","0"
"1973/1974","Newfoundland and Labrador","2016A000210","Total - gender","Persons","249","units","0","v470784","2.1","11962","","","","0"
"1973/1974","Newfoundland and Labrador","2016A000210","Men+","Persons","249","units","0","v470785","2.2","6167","","","","0"
"1973/1974","Newfoundland and Labrador","2016A000210","Women+","Persons","249","units","0","v470786","2.3","5795","","","","0"
"1973/1974","Prince Edward Island","2016A000211","Total - gender","Persons","249","units","0","v470787","3.1","1932","","","","0"
"1973/1974","Prince Edward Island","2016A000211","Men+","Persons","249","units","0","v470788","3.2","1019","","","","0"
"1973/1974","Prince Edward Island","2016A000211","Women+","Persons","249","units","0","v470789","3.3","913","","","","0"
"1973/1974","Nova Scotia","2016A000212","Total - gender","Persons","249","units","0","v470790","4.1","12839","","","","0"
"1973/1974","Nova Scotia","2016A000212","Men+","Persons","249","units","0","v470791","4.2","6560","","","","0"
"1973/1974","Nova Scotia","2016A000212","Women+","Persons","249","units","0","v470792","4.3","6279","","","","0"
"1973/1974","New Brunswick","2016A000213","Total - gender","Persons","249","units","0","v470793","5.1","11218","","","","0"
"1973/1974","New Brunswick","2016A000213","Men+","Persons","249","units","0","v470794","5.2","5723","","","","0"
"1973/1974","New Brunswick","2016A000213","Women+","Persons","249","units","0","v470795","5.3","5495","","","","0"
"1973/1974","Quebec","2016A000224","Total - gender","Persons","249","units","0","v470796","6.1","85459","","","","0"
"1973/1974","Quebec","2016A000224","Men+","Persons","249","units","0","v470797","6.2","43774","","","","0"
"1973/1974","Quebec","2016A000224","Women+","Persons","249","units","0","v470798","6.3","41685","","","","0"
"1973/1974","Ontario","2016A000235","Total - gender","Persons","249","units","0","v470799","7.1","122122","","","","0"
"1973/1974","Ontario","2016A000235","Men+","Persons","249","units","0","v470800","7.2","62736","","","","0"
"1973/1974","Ontario","2016A000235","Women+","Persons","249","units","0","v470801","7.3","59386","","","","0"
"1973/1974","Manitoba","2016A000246","Total - gender","Persons","249","units","0","v470802","8.1","17080","","","","0"
"1973/1974","Manitoba","2016A000246","Men+","Persons","249","units","0","v470803","8.2","8846","","","","0"
"1973/1974","Manitoba","2016A000246","Women+","Persons","249","units","0","v470804","8.3","8234","","","","0"
"1973/1974","Saskatchewan","2016A000247","Total - gender","Persons","249","units","0","v470805","9.1","14680","","","","0"
"1973/1974","Saskatchewan","2016A000247","Men+","Persons","249","units","0","v470806","9.2","7508","","","","0"
"1973/1974","Saskatchewan","2016A000247","Women+","Persons","249","units","0","v470807","9.3","7172","","","","0"
"1973/1974","Alberta","2016A000248","Total - gender","Persons","249","units","0","v470766","10.1","29146","","","","0"
"1973/1974","Alberta","2016A000248","Men+","Persons","249","units","0","v470767","10.2","14803","","","","0"
"1973/1974","Alberta","2016A000248","Women+","Persons","249","units","0","v470768","10.3","14343","","","","0"
"1973/1974","British Columbia","2016A000259","Total - gender","Persons","249","units","0","v470769","11.1","34462","","","","0"
"1973/1974","British Columbia","2016A000259","Men+","Persons","249","units","0","v470770","11.2","17716","","","","0"
"1973/1974","British Columbia","2016A000259","Women+","Persons","249","units","0","v470771","11.3","16746","","","","0"
